ISO code,country,year,ors_total,ors_male,ors_female,ors_urban,ors_rural,ors_poorest,ors_second,ors_middle,ors_fourth,ors_richest,pneu_total,pneu_male,pneu_female,pneu_urban,pneu_rural,pneu_poorest,pneu_second,pneu_middle,pneu_fourth,pneu_richest
AFG,Afghanistan,2010-2011,48,49,46,40,49,51,43,48,53,41,61,62,59,67,59,46,60,66,64,66
ALB,Albania,2008-2009,63,67,57,64,63,,,,,,70,,,,,,,,,
DZA,Algeria,2012-2013,42,41,42,41,43,40,37,40,42,54,66,67,66,69,63,60,65,68,73,73
ARG,Argentina,2011-2012,59,63,55,,,58,52,67,62,61,94,95,93,,,92,97,93,96,96
ARM,Armenia,2010,77,77,78,70,,,,,,,57,,,,,,,,,
AZE,Azerbaijan,2006,30,,,21,37,24,26,39,35,28,36,30,42,29,38,35,,,,
BGD,Bangladesh,2012-2013,65,66,63,67,64,63,56,62,75,69,42,39,47,52,39,38,44,37,39,58
BLR,Belarus,2012,61,74,51,68,,,,,,,93,92,95,96,,,,,,
BLZ,Belize,2011,43,42,44,58,36,,,,,,82,,,,78,,,,,
BEN,Benin,2011-2012,49,49,49,51,47,44,49,46,50,55,23,,,,,,,,,
BTN,Bhutan,2010,62,63,60,60,62,61,65,62,61,60,74,76,72,74,74,64,81,78,77,82
BOL,Bolivia,2008,29,28,31,28,30,28,28,33,28,27,62,,,64,57,,,,,
BIH,Bosnia and Herzegovina,2011-2012,55,60,48,,48,,,,,,87,,,,,,,,,
BWA,Botswana,2000,7,,,,,,,,,,14,16,13,15,13,11,16,15,13,18
BFA,Burkina Faso,2010,33,34,31,46,30,25,24,34,36,44,56,52,62,65,53,,43,66,56,70
BDI,Burundi,2010,43,40,46,35,43,39,39,43,46,47,55,56,54,60,54,52,53,59,53,58
KHM,Cambodia,2010,48,49,47,45,48,50,39,56,52,43,69,62,76,70,69,68,65,78,67,67
CMR,Cameroon,2011,47,45,49,50,45,40,47,50,52,54,28,,,,,,,,,
CAF,Central African Republic,2010,38,36,39,42,35,35,36,31,46,41,30,28,32,42,24,20,20,25,40,56
TCD,Chad,2010,23,24,22,39,19,14,14,20,30,42,26,25,27,51,20,14,17,21,31,50
COL,Colombia,2010,52,54,50,55,45,46,52,55,56,64,64,65,63,67,57,54,68,67,73,64
COM,Comoros,2012,54,50,58,65,50,42,52,54,70,57,38,43,32,47,34,,,,,
COG,Congo,2011-2012,48,49,48,52,41,39,49,49,53,51,52,47,57,57,44,41,49,41,66,71
CRI,Costa Rica,2011,70,75,61,83,43,54,,,,,77,72,84,70,84,80,,,,
CIV,Côte d'Ivoire,2012,36,39,33,36,36,40,35,35,35,36,38,35,41,49,31,,30,50,48,
CUB,Cuba,2014,53,,,,,,,,,,93,94,90,92,94,,,,,
PRK,North Korea,2009,67,63,71,71,63,,,,,,80,78,82,85,74,,,,,
COD,Democratic Republic of the Congo,2013-2014,40,40,40,45,37,32,42,43,41,43,42,44,39,39,43,37,40,49,39,44
DJI,Djibouti,2006,33,28,39,32,63,,,,,,94,,,,,,,,,
DOM,Dominican Republic,2014,52,,,,,,,,,,73,,,,,,,,,
EGY,Egypt,2014,8,9,8,9,8,6,11,9,7,7,68,70,66,69,68,64,63,73,72,67
SLV,El Salvador,2014,72,,,,,,,,,,80,,,,,,,,,
GNQ,Equatorial Guinea,2011,53,46,59,55,50,,,48,53,58,54,57,50,63,48,,,,,71
ERI,Eritrea,2010,57,56,58,57,57,50,44,67,64,60,45,46,43,57,41,30,36,46,64,64
ETH,Ethiopia,2011,25,27,22,29,25,24,18,25,28,34,27,25,29,47,25,16,25,22,33,62
GAB,Gabon,2012,52,53,50,51,56,53,47,53,56,50,68,72,62,71,52,48,78,66,0,0
GMB,Gambia,2010,67,65,68,75,61,70,55,62,68,70,68,72,63,68,68,70,70,71,62,67
GEO,Georgia,2005,37,36,37,41,32,,,43,27,,74,,,,,,,,,
GHA,Ghana,2011,44,45,43,51,40,45,41,44,51,38,56,54,59,51,59,55,53,62,57,54
GIN,Guinea,2012,40,41,38,47,37,31,38,40,46,47,37,37,37,69,29,15,31,34,48,78
GNB,Guinea-Bissau,2014,55,,,,,,,,,,34,,,,,,,,,
GUY,Guyana,2014,29,,,,,,,,,,84,,,,,,,,,
HTI,Haiti,2012,57,57,56,61,54,60,45,61,62,57,38,39,36,44,34,23,32,36,52,51
HND,Honduras,2011-2012,61,60,62,60,61,62,61,61,60,58,64,64,64,67,61,61,60,67,65,73
