country,ISO3,region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,South Asia,137,134,130,127,123,120,116,113,110,108,105,102,100,97,94,91
Albania,ALB,Europe & Central Asia,26,25,24,23,22,21,20,19,18,17,17,16,16,15,14,14
Algeria,DZA,Middle East & North Africa,40,39,38,37,35,34,32,31,29,28,27,27,26,26,26,26
Andorra,AND,Europe & Central Asia,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3
Angola,AGO,Sub-Saharan Africa,217,214,212,209,207,204,201,196,192,187,183,177,172,167,162,157
Antigua and Barbuda,ATG,Latin America & Caribbean,16,15,14,14,13,12,12,11,11,10,10,10,9,9,8,8
Argentina,ARG,Latin America & Caribbean,20,20,19,19,18,17,16,16,15,15,15,14,14,13,13,13
Armenia,ARM,Europe & Central Asia,30,29,27,26,25,23,22,21,20,19,18,17,16,16,15,14
Australia,AUS,East Asia & Pacific,6,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4
Austria,AUT,Europe & Central Asia,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4
Azerbaijan,AZE,Europe & Central Asia,74,69,64,59,55,52,49,46,43,41,39,37,36,34,33,32
Bahamas,BHS,Latin America & Caribbean,16,16,16,15,15,15,15,15,15,14,14,14,13,13,12,12
Bahrain,BHR,Middle East & North Africa,13,12,12,12,11,11,11,10,9,9,8,8,7,7,7,6
Bangladesh,BGD,South Asia,88,84,79,75,71,67,63,59,56,53,50,47,44,42,40,38
Barbados,BRB,Latin America & Caribbean,16,17,17,17,17,17,16,16,15,15,15,14,14,14,13,13
Belarus,BLR,Europe & Central Asia,14,13,12,11,10,9,9,8,7,7,6,6,5,5,5,5
Belgium,BEL,Europe & Central Asia,6,6,5,5,5,5,5,5,5,5,5,4,4,4,4,4
Belize,BLZ,Latin America & Caribbean,25,24,24,23,22,22,21,21,20,20,19,19,18,18,17,17
Benin,BEN,Sub-Saharan Africa,145,141,137,133,129,126,122,119,116,114,112,109,107,105,102,100
Bhutan,BTN,South Asia,80,75,71,66,62,59,55,51,48,45,42,40,38,36,34,33
Bolivia,BOL,Latin America & Caribbean,80,76,72,69,65,61,58,55,52,49,47,45,43,41,40,38
Bosnia and Herzegovina,BIH,Europe & Central Asia,9,9,8,8,8,8,8,8,8,8,7,7,7,6,6,5
Botswana,BWA,Sub-Saharan Africa,83,82,80,78,76,69,63,63,62,57,54,52,50,47,45,44
Brazil,BRA,Latin America & Caribbean,32,30,27,25,24,22,20,19,18,17,17,16,16,16,16,16
Brunei Darussalam,BRN,East Asia & Pacific,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10
Bulgaria,BGR,Europe & Central Asia,21,20,19,18,17,16,15,14,14,13,13,13,12,12,11,10
Burkina Faso,BFA,Sub-Saharan Africa,186,182,178,173,166,158,149,140,130,121,114,107,101,97,92,89
Burundi,BDI,Sub-Saharan Africa,152,148,143,138,133,127,121,115,109,104,99,95,91,88,85,82
