country,region,ISO3,Diarrhoeal diseases,HIV,Pertussis,Measles,Meningitis and encephalitis,Malaria,Respiratory infections,Prematurity,Birth asphixia,Sepsis and infections,Perinatal and nutritional,Congenital anomalies,Injuries,Other,total
Afghanistan,South Asia,AFG,13,0,1.2,3.9,3.3,0,19.8,12.3,10.9,7,9.9,3.5,6.8,5.8,97.4
Albania,Europe & Central Asia,ALB,0.1,0,0.1,0,0.4,0,1.5,2.9,1,0.5,1.2,4.2,1.4,1.4,14.7
Algeria,Middle East & North Africa,DZA,1.3,0.1,0.2,0.1,0.2,0,3.2,5,3.3,1.8,1.5,4.6,1.9,1.7,24.9
Andorra,Europe & Central Asia,AND,0,0,0,0,0,0,0.1,0.7,0.2,0.1,0.2,1,0.2,0.3,2.8
Angola,Sub-Saharan Africa,AGO,24.6,1.9,1,0.7,6,21.2,28.9,17.4,15.6,7.9,16.8,8.6,8.6,6.7,165.9
Antigua and Barbuda,Latin America & Caribbean,ATG,0.2,0,0,0,0,0,0.4,1.2,2.4,0,1.4,0.6,1.7,1.6,9.5
Argentina,Latin America & Caribbean,ARG,0.2,0,0.1,0,0.2,0,1.2,3.5,0.7,0.8,0.7,3.7,0.9,1.5,13.5
Armenia,Europe & Central Asia,ARM,0.2,0,0.1,0,0.3,0,1.5,3.9,1.3,0.8,1.4,4.2,1.2,1,15.9
Australia,East Asia & Pacific,AUS,0,0,0,0,0,0,0.1,0.9,0.5,0.1,0.5,1.1,0.3,0.5,4.0
Austria,Europe & Central Asia,AUT,0,0,0,0,0.1,0,0.1,0.8,0.4,0.1,0.3,1.5,0.1,0.5,3.9
Azerbaijan,Europe & Central Asia,AZE,2.4,0,0.2,0,0.4,0,5.2,7,3.7,1.8,2.1,4.5,2.8,3.6,33.7
Bahamas,Latin America & Caribbean,BHS,0,0,0,0,0,0,4.2,1.9,1,0.9,1,1.4,0.6,1.7,12.7
Bahrain,Middle East & North Africa,BHR,0,0,0,0,0.1,0,0.3,1,1.1,0.3,0.6,1.9,0.3,0.5,6.1
Bangladesh,South Asia,BGD,2.6,0,0.2,0.4,0.4,0.2,5.6,8.2,5.7,4.5,4.2,3.7,2.7,2.2,40.6
Barbados,Latin America & Caribbean,BRB,0,0,0,0,0,0,1.6,2,2.2,0.3,1,3.5,0.2,3.5,14.3
Belarus,Europe & Central Asia,BLR,0,0,0.1,0,0.1,0,0.3,1,0.3,0.1,0.2,1.9,0.4,0.5,4.9
Belgium,Europe & Central Asia,BEL,0,0,0,0,0.1,0,0.1,0.9,0.4,0.1,0.5,1.2,0.4,0.7,4.4
Belize,Latin America & Caribbean,BLZ,0.5,0.1,0,0,0.1,0,0.9,2.3,1.6,0.9,2.9,2.1,1.3,4,16.7
Benin,Sub-Saharan Africa,BEN,7.7,0.8,1.1,1.8,2,17.6,12.5,10.4,8.4,5,6.3,3.6,4.3,2.7,84.2
Bhutan,South Asia,BTN,2.6,0.1,0.2,0,0.4,0,5.8,6.7,4.4,2.9,3.2,3.8,3.4,2.4,35.9
Bolivia,Latin America & Caribbean,BOL,3.1,0.1,1.2,0,0.5,0,6.3,5.9,5.5,2.9,3,5,3.2,1.9,38.6
Bosnia and Herzegovina,Europe & Central Asia,BIH,0,0,0,0.1,0.1,0,0.4,2,0.6,0.3,0.3,1.9,0.3,0.5,6.5
Botswana,Sub-Saharan Africa,BWA,2.9,2.6,0.2,0.8,0.5,0,5.9,10.7,6.2,3.8,3.8,4.8,2.6,1.7,46.5
Brazil,Latin America & Caribbean,BRA,0.3,0,0,0,0.2,0,1,3,1.5,1.2,1.7,2.9,0.7,1.1,13.6
Brunei Darussalam,East Asia & Pacific,BRN,0.1,0,0.2,0,0.2,0,0.4,2.5,0.8,0.2,0.8,2.7,1.1,1.1,10.1
Bulgaria,Europe & Central Asia,BGR,0.1,0,0,0,0.2,0,1.9,2.9,1.3,0.2,0.6,3.2,0.5,0.8,11.7
Burkina Faso,Sub-Saharan Africa,BFA,9.6,0.6,1,1.5,2.4,21.8,14.5,10.6,8.5,5.3,7.5,4,5.2,3.6,96.1
Burundi,Sub-Saharan Africa,BDI,9.4,1.1,1,0.5,2,4.1,15,9.9,9.6,5.7,9.5,3.5,5.8,3,80.1
Côte d'Ivoire,Sub-Saharan Africa,CIV,9.4,2.3,1,0,2.3,15,14.4,13,12.4,7.1,8.2,4.2,4.7,2.5,96.5
Cabo Verde,Sub-Saharan Africa,CPV,1.4,0.8,0.2,0,0.4,0,3.8,4.8,2,1.4,2.8,4.7,0.9,2.6,25.8
Cambodia,East Asia & Pacific,KHM,2.8,0.1,1.1,0.7,0.5,0.2,6.2,5.9,4.9,2.9,3.4,3.7,3.1,1.7,37.2
Cameroon,Sub-Saharan Africa,CMR,10.6,2.7,1.1,0.3,2.6,11.6,15.9,10,10.5,5.3,7.9,4.8,5.6,4.4,93.3
Canada,North America,CAN,0,0,0,0,0,0,0.1,1.5,0.5,0.2,0.3,1.4,0.3,0.8,5.1
Central African Republic,Sub-Saharan Africa,CAF,12.9,4.3,1.3,0,4.9,35.2,20.5,14.9,15.2,5.9,9.6,3.3,5,3.1,136.1
Chad,Sub-Saharan Africa,TCD,17.9,2.8,1.4,0,6.2,27.6,25,16.2,12.1,5.3,14.1,3.8,7,4.2,143.6
Chile,Latin America & Caribbean,CHL,0,0,0,0,0.1,0,0.5,2.2,0.3,0.3,0.4,3,0.6,0.7,8.1
China,East Asia & Pacific,CHN,0.5,0,0.1,0,0.3,0,1.7,2,1.9,0.3,2,1.7,1.6,0.5,12.6
Colombia,Latin America & Caribbean,COL,0.3,0,0,0,0.2,0,1.5,3.9,1.4,1.3,2,4,1,1.3,16.9
Comoros,Sub-Saharan Africa,COM,6.8,0.8,1,0,1.5,11.5,11.8,11.4,9.5,6,6.4,3.7,4.1,2.3,76.8
