country,ISO3,region,total
Afghanistan,AFG,South Asia,91
Albania,ALB,Europe & Central Asia,14
Algeria,DZA,Middle East & North Africa,26
Andorra,AND,Europe & Central Asia,3
Angola,AGO,Sub-Saharan Africa,157
Antigua and Barbuda,ATG,Latin America & Caribbean,8
Argentina,ARG,Latin America & Caribbean,13
Armenia,ARM,Europe & Central Asia,14
Australia,AUS,East Asia & Pacific,4
Austria,AUT,Europe & Central Asia,4
Azerbaijan,AZE,Europe & Central Asia,32
Bahamas,BHS,Latin America & Caribbean,12
Bahrain,BHR,Middle East & North Africa,6
Bangladesh,BGD,South Asia,38
Barbados,BRB,Latin America & Caribbean,13
Belarus,BLR,Europe & Central Asia,5
Belgium,BEL,Europe & Central Asia,4
Belize,BLZ,Latin America & Caribbean,17
Benin,BEN,Sub-Saharan Africa,100
Bhutan,BTN,South Asia,33
Bolivia,BOL,Latin America & Caribbean,38
Bosnia and Herzegovina,BIH,Europe & Central Asia,5
Botswana,BWA,Sub-Saharan Africa,44
Brazil,BRA,Latin America & Caribbean,16
Brunei Darussalam,BRN,East Asia & Pacific,10
Bulgaria,BGR,Europe & Central Asia,10
Burkina Faso,BFA,Sub-Saharan Africa,89
Burundi,BDI,Sub-Saharan Africa,82
Cabo Verde,CPV,Sub-Saharan Africa,25
Cambodia,KHM,East Asia & Pacific,29
Cameroon,CMR,Sub-Saharan Africa,88
Canada,CAN,North America,5
Central African Republic,CAF,Sub-Saharan Africa,130
Chad,TCD,Sub-Saharan Africa,139
Chile,CHL,Latin America & Caribbean,8
China,CHN,East Asia & Pacific,11
Colombia,COL,Latin America & Caribbean,16
Comoros,COM,Sub-Saharan Africa,74
"Congo, Rep.",COG,Sub-Saharan Africa,45
Costa Rica,CRI,Latin America & Caribbean,10
Côte d'Ivoire,CIV,Sub-Saharan Africa,93
Croatia,HRV,Europe & Central Asia,4
Cuba,CUB,Latin America & Caribbean,6
Cyprus,CYP,Europe & Central Asia,3
Czech Republic,CZE,Europe & Central Asia,3
Dem Rep Congo,COD,Sub-Saharan Africa,98
Denmark,DNK,Europe & Central Asia,4
Djibouti,DJI,Middle East & North Africa,65
Dominica,DMA,Latin America & Caribbean,21
Dominican Republic,DOM,Latin America & Caribbean,31
Ecuador,ECU,Latin America & Caribbean,22
Egypt,EGY,Middle East & North Africa,24
El Salvador,SLV,Latin America & Caribbean,17
Equatorial Guinea,GNQ,Sub-Saharan Africa,94
Eritrea,ERI,Sub-Saharan Africa,47
Estonia,EST,Europe & Central Asia,3
Ethiopia,ETH,Sub-Saharan Africa,59
Fiji,FJI,East Asia & Pacific,22
Finland,FIN,Europe & Central Asia,2
France,FRA,Europe & Central Asia,4
Gabon,GAB,Sub-Saharan Africa,51
Gambia,GMB,Sub-Saharan Africa,69
Georgia,GEO,Europe & Central Asia,12
Germany,DEU,Europe & Central Asia,4
Ghana,GHA,Sub-Saharan Africa,62
Greece,GRC,Europe & Central Asia,5
Grenada,GRD,Latin America & Caribbean,12
Guatemala,GTM,Latin America & Caribbean,29
Guinea,GIN,Sub-Saharan Africa,94
Guinea-Bissau,GNB,Sub-Saharan Africa,93
Guyana,GUY,Latin America & Caribbean,39
Haiti,HTI,Latin America & Caribbean,69
Honduras,HND,Latin America & Caribbean,20
Hungary,HUN,Europe & Central Asia,6
Iceland,ISL,Europe & Central Asia,2
India,IND,South Asia,48
Indonesia,IDN,East Asia & Pacific,27
Iran,IRN,Middle East & North Africa,16
Iraq,IRQ,Middle East & North Africa,32
