ISO code,country,year,pneu_total,pneu_male,pneu_female,pneu_urban,pneu_rural,pneu_poorest,pneu_second,pneu_middle,pneu_fourth,pneu_richest
AFG,Afghanistan,2011,61,62,59,67,59,46,60,66,64,66
ALB,Albania,2009,70,,,,,,,,,
DZA,Algeria,2013,66,67,66,69,63,60,65,68,73,73
ARG,Argentina,2012,94,95,93,,,92,97,93,96,96
ARM,Armenia,2010,57,,,,,,,,,
AZE,Azerbaijan,2000,36,30,42,29,38,35,,,,
BGD,Bangladesh,2014,42,39,47,52,39,38,44,37,39,58
BLR,Belarus,2012,93,92,95,96,,,,,,
BLZ,Belize,2011,82,,,,78,,,,,
BEN,Benin,2014,23,,,,,,,,,
BTN,Bhutan,2010,74,76,72,74,74,64,81,78,77,82
BOL,Bolivia,2011,62,,,64,57,,,,,
BIH,Bosnia and Herzegovina,2012,87,,,,,,,,,
BWA,Botswana,2000,14,16,13,15,13,11,16,15,13,18
BRA,Brazil,2006,50,46,53,50,50,,,,,
BFA,Burkina Faso,2010,56,52,62,65,53,,43,66,56,70
BDI,Burundi,2010,55,56,54,60,54,52,53,59,53,58
KHM,Cambodia,2014,69,62,76,70,69,68,65,78,67,67
CMR,Cameroon,2014,28,,,,,,,,,
CAF,Central African Republic,2010,30,28,32,42,24,20,20,25,40,56
TCD,Chad,2010,26,25,27,51,20,14,17,21,31,50
COL,Colombia,2010,64,65,63,67,57,54,68,67,73,64
COM,Comoros,2012,38,43,32,47,34,,,,,
COG,Congo,2012,52,47,57,57,44,41,49,41,66,71
CRI,Costa Rica,2011,77,72,84,70,84,80,,,,
CIV,Côte d'Ivoire,2012,38,35,41,49,31,,30,50,48,
CUB,Cuba,2014,93,94,90,92,94,,,,,
PRK,North Korea,2009,80,78,82,85,74,,,,,
COD,Democratic Republic of the Congo,2014,42,44,39,39,43,37,40,49,39,44
DJI,Djibouti,2012,94,,,,,,,,,
DOM,Dominican Republic,2014,73,,,,,,,,,
EGY,Egypt,2014,68,70,66,69,68,64,63,73,72,67
SLV,El Salvador,2014,80,,,,,,,,,
GNQ,Equatorial Guinea,2011,54,57,50,63,48,,,,,71
ERI,Eritrea,2010,45,46,43,57,41,30,36,46,64,64
ETH,Ethiopia,2011,27,25,29,47,25,16,25,22,33,62
GAB,Gabon,2012,68,72,62,71,52,48,78,66,,
GMB,Gambia,2013,68,72,63,68,68,70,70,71,62,67
GEO,Georgia,2005,74,,,,,,,,,
GHA,Ghana,2014,56,54,59,51,59,55,53,62,57,54
GTM,Guatemala,2002,64,,,,,,,,,
GIN,Guinea,2012,37,37,37,69,29,15,31,34,48,78
GNB,Guinea-Bissau,2014,34,,,,,,,,,
GUY,Guyana,2014,84,,,,,,,,,
