country,region,rate,Rural_drinking,Urban_drinking,Total_drinking,Rural_sanitation,Urban_sanitation,Total_sanitation,rural_pop
Afghanistan,South Asia,99,56,90,64,23,47,29,74.5
Albania,Europe & Central Asia,15,94,97,96,86,95,91,45.7
Algeria,Middle East & North Africa,25,79,85,84,88,98,95,31.1
Andorra,Europe & Central Asia,3,100,100,100,100,100,100,13.3
Angola,Sub-Saharan Africa,171,34,68,54,20,87,60,58.3
Antigua and Barbuda,Latin America & Caribbean,10,98,98,98,,,,74.9
Argentina,Latin America & Caribbean,14,95,99,99,99,97,97,8.7
Armenia,Europe & Central Asia,17,100,100,100,81,96,91,36.8
Australia,East Asia & Pacific,4,100,100,100,100,100,100,11.0
Austria,Europe & Central Asia,4,100,100,100,100,100,100,34.1
Azerbaijan,Europe & Central Asia,35,71,88,80,78,86,82,46.1
Bahamas,Latin America & Caribbean,13,98,98,98,92,92,92,17.3
Bahrain,Middle East & North Africa,7,100,100,100,99,99,99,11.4
Bangladesh,South Asia,43,84,86,85,58,55,57,68.0
Barbados,Latin America & Caribbean,14,100,100,100,,,,68.2
Belarus,Europe & Central Asia,5,99,100,100,95,94,94,24.5
Belgium,Europe & Central Asia,4,100,100,100,100,100,100,2.3
Belize,Latin America & Caribbean,17,100,98,99,88,94,91,55.5
Benin,Sub-Saharan Africa,87,69,85,76,5,25,14,57.3
Bhutan,South Asia,38,97,99,98,31,75,47,63.6
Bolivia,Latin America & Caribbean,40,72,96,88,24,57,46,32.7
Bosnia and Herzegovina,Europe & Central Asia,7,99,100,100,92,99,95,60.6
Botswana,Sub-Saharan Africa,47,93,99,97,42,78,64,43.3
Brazil,Latin America & Caribbean,14,85,100,98,49,87,81,15.1
Bulgaria,Europe & Central Asia,12,99,100,99,100,100,100,27.0
Burkina Faso,Sub-Saharan Africa,100,76,97,82,7,50,19,72.7
Burundi,Sub-Saharan Africa,83,73,92,75,48,43,47,88.8
Cabo Verde,Sub-Saharan Africa,27,86,91,89,47,75,65,36.6
Cambodia,East Asia & Pacific,39,66,94,71,25,82,37,79.9
Cameroon,Sub-Saharan Africa,96,52,94,74,27,62,45,47.3
Canada,North America,5,99,100,100,99,100,100,18.7
Central African Republic,Sub-Saharan Africa,141,54,90,68,7,44,22,60.7
Chad,Sub-Saharan Africa,148,45,72,51,6,31,12,77.9
Chile,Latin America & Caribbean,8,91,100,99,89,100,99,11.0
China,East Asia & Pacific,13,85,98,92,56,74,65,48.1
Colombia,Latin America & Caribbean,17,74,97,91,66,85,80,24.4
Comoros,Sub-Saharan Africa,79,97,,,,,,72.0
Congo,Sub-Saharan Africa,51,39,96,75,6,20,15,35.9
Cook Islands,East Asia & Pacific,8,100,100,100,97,97,97,
Costa Rica,Latin America & Caribbean,10,91,100,97,92,95,94,26.1
Cote d'Ivoire,Sub-Saharan Africa,100,68,92,80,10,33,22,48.0
Croatia,Europe & Central Asia,5,97,100,99,98,99,98,41.9
Cuba,Latin America & Caribbean,7,87,96,94,88,94,93,23.2
Cyprus,Europe & Central Asia,4,100,100,100,100,100,100,32.7
Czech Republic,Europe & Central Asia,4,100,100,100,100,100,100,26.9
Democratic Republic of the Congo,Sub-Saharan Africa,119,29,79,46,33,29,31,59.1
Denmark,Europe & Central Asia,4,100,100,100,100,100,100,12.9
Djibouti,Middle East & North Africa,85,65,100,92,22,73,61,22.9
Dominica,Latin America & Caribbean,11,,96,,,,,31.3
Dominican Republic,Latin America & Caribbean,29,77,82,81,74,86,82,24.0
Ecuador,Latin America & Caribbean,23,75,92,86,76,86,83,36.9
Egypt,Middle East & North Africa,22,99,100,99,94,98,96,57.0
El Salvador,Latin America & Caribbean,16,81,95,90,53,80,70,34.7
Eritrea,Sub-Saharan Africa,53,,,,4,,,78.6
Estonia,Europe & Central Asia,4,98,100,99,94,96,95,32.2
Ethiopia,Sub-Saharan Africa,66,42,97,52,23,27,24,81.8
Fiji,East Asia & Pacific,24,92,100,96,82,92,87,47.4
Finland,Europe & Central Asia,3,100,100,100,100,100,100,16.2
France,Europe & Central Asia,4,100,100,100,100,100,100,21.2
Gabon,Sub-Saharan Africa,57,63,97,92,32,43,41,13.6
Gambia,Sub-Saharan Africa,74,84,94,90,55,64,60,42.3
Georgia,Europe & Central Asia,14,97,100,99,91,96,93,46.8
